x,y,rssi
25,-60,-87.00661370628569
25,-50,-85.95880017344075
25,-40,-84.7786401225356
25,-30,-83.46615874946244
25,-20,-82.08579092313418
25,-10,-80.88270405256795
25,0,-80.3670401387526
25,10,-80.88270405256795
25,20,-82.08579092313418
25,30,-83.46615874946244
25,40,-84.7786401225356
25,50,-85.95880017344075
25,60,-87.00661370628569
25,70,-87.93865825885719
25,80,-88.77317062861694
25,90,-89.52612348504974
25,100,-90.21063150977879
30,-100,-90.29941198352499
30,-90,-89.6339400755146
30,-80,-88.90658288096364
30,-70,-88.1074239485035
30,-60,-87.22570011020275
30,-50,-86.25183133633804
30,-40,-85.1835200693763
30,-30,-84.04218004082645
30,-20,-82.9115468184547
30,-10,-82.0
30,0,-81.6339400755146
30,10,-82.0
30,20,-82.9115468184547
30,30,-84.04218004082645
30,40,-85.1835200693763
30,50,-86.25183133633804
30,60,-87.22570011020275
30,70,-88.1074239485035
30,80,-88.90658288096364
30,90,-89.6339400755146
30,100,-90.29941198352499
35,-100,-90.40149079740289
